Title,Studio,Opening,Theaters,Date,Movie ID,Budget,Runtime,Genres,Directing,Producing,Writing,Rating
Avengers: Endgame,BV,357115007,4662,2019-04-26,299534,356000000,181.0,"['Adventure', 'Science Fiction', 'Action']","['Joe Russo', 'Anthony Russo', 'Chris Castaldi', 'Simon Downes', 'Mark Johnston', 'Edward Catley']","['Kevin Feige', 'Jon Favreau', 'Sarah Finn', 'Victoria Alonso', 'Jason Tamez', 'Jason B. Stamey', 'Nicholas A. Mudd', 'James Gunn', 'Stan Lee', 'Mitchell Bell', 'Ari Costa', 'Prashant Sharan', 'Trinh Tran', 'Zack Duncan', 'Lulu Morgan', 'Amanda L. Akins', 'Alex Cody', 'Molly Doyle', 'Johnny Gidcomb', 'Nicholas A. Mudd', 'Chase Paris', 'Ted Alvarez', 'Chris Cloud', 'David Crigler', 'James Lin', 'Justin Christopher Ray', 'Jorge Saumell', 'Antony Scott', 'Nancy Wong', 'Michael Grillo', 'Christopher Markus', 'Stephen McFeely']","['Christopher Markus', 'Stephen McFeely', 'Jim Starlin', 'Jack Kirby', 'Christopher Markus', 'Stephen McFeely', 'Stan Lee']",PG-13
Avengers: Infinity War,BV,257698183,4474,2018-04-27,299536,300000000,149.0,"['Adventure', 'Action', 'Fantasy']","['Joe Russo', 'Anthony Russo', 'Chris Castaldi', 'Simon Downes', 'Mark Rossini', 'Eli Sasich', 'Hajar Mainl', 'Lori Grabowski']","['Kevin Feige', 'Jon Favreau', ""Louis D'Esposito"", 'Stan Lee', 'Victoria Alonso', 'Alan Fine', 'Sarah Finn', 'James Gunn', 'Mitchell Bell', 'Jamie Lengyel', 'Lulu Morgan', 'JoAnn Perritano', 'Jason Tamez', 'Johnny Gidcomb', 'Tara Feldstein', 'Chase Paris', 'Jason B. Stamey', 'Adriana Del Valle', 'Molly Doyle', 'Trinh Tran']","['Stephen McFeely', 'Jack Kirby', 'Christopher Markus', 'Jim Starlin']",PG-13
Star Wars: The Force Awakens,BV,247966675,4134,2015-12-18,140607,245000000,136.0,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",['J.J. Abrams'],"['Bryan Burk', 'J.J. Abrams', 'Kathleen Kennedy', 'Nina Gold', 'April Webster', 'Alyssa Weisberg', 'Theo Park', 'Jessica Sherman', 'Celia Barnett', 'Michael Arndt']","['J.J. Abrams', 'Lawrence Kasdan', 'George Lucas', 'Michael Arndt']",PG-13
Star Wars: The Last Jedi,BV,220009584,4232,2017-12-15,181808,200000000,152.0,"['Fantasy', 'Adventure', 'Science Fiction', 'Action']","['Rian Johnson', 'Jamie Christopher', 'Paula Casarin']","['Kathleen Kennedy', 'Ram Bergman', 'J.J. Abrams', 'Tom Karnowski', 'Nina Gold', 'Milivoj Mestrovic', 'Mary Vernieu', 'Martin Joy', 'Martin Joy', 'Polly Hope', 'Adam Teeuw', 'Terri Douglas', 'Marisol Roncali', 'Martin Ware']","['George Lucas', 'Rian Johnson']",PG-13
Jurassic World,Uni.,208806270,4274,2015-06-12,135397,150000000,124.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Colin Trevorrow', 'Chris Castaldi', 'Zack Smith', 'Jason Roberts', 'David Leitch']","['Steven Spielberg', 'Frank Marshall', 'Patrick Crowley', 'Christopher Raimo', 'Thomas Tull', 'John Papsidera', 'Scott Trimble', ""Pei'an Lau"", 'Ty Warren', 'Anthony Chiarantano', 'Russell Allen']","['Michael Crichton', 'Rick Jaffa', 'Amanda Silver', 'Derek Connolly', 'Rick Jaffa', 'Amanda Silver', 'Timothy Burgard', 'Robert Consing', 'Collin Grant', 'Philip Keller', 'David Lowery', 'Dan Sweetman', 'Amy Lynn Umezu', 'Colin Trevorrow', 'John Coven']",PG-13
Marvel's The Avengers,BV,207438708,4349,2012-05-04,24428,220000000,143.0,"['Science Fiction', 'Action', 'Adventure']","['Joss Whedon', 'Trudy Ramirez', 'John Mahaffie']","['Avi Arad', 'Chris Brigham', ""Louis D'Esposito"", 'Jon Favreau', 'Kevin Feige', 'Victoria Alonso', 'Alan Fine', 'Jeremy Latcham', 'Stan Lee', 'Sarah Finn', 'Randi Hiller', 'Don J. Hug', 'Nadia Paine', 'Aaron Spaulding', 'David Rumble', 'Tom Moisides', 'Ruben Malaret', 'Scott Allen Logan', 'Trinh Tran']","['Joss Whedon', 'Zak Penn', 'Joss Whedon', 'Jack Kirby', 'Stan Lee', 'Jane Wu']",PG-13
Black Panther,BV,202003951,4020,2018-02-16,284054,200000000,134.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Ryan Coogler', 'Dawn Gilliam', 'Lisa C. Satriano']","['Kevin Feige', 'Sarah Finn', 'Molly Doyle', 'Nicholas A. Mudd', 'Jason B. Stamey', 'Victoria Alonso', 'Jeffrey Chernov', ""Louis D'Esposito"", 'David J. Grant', 'Stan Lee', 'Nate Moore', 'Douglas Dresser', 'Helen Pollak', 'Scott Thaler', 'Jason Zorigian', 'Cale Wilbanks']","['Joe Robert Cole', 'Ryan Coogler', 'Jack Kirby', 'Stan Lee', 'Simeon Wilkins']",PG-13
Avengers: Age of Ultron,BV,191271109,4276,2015-05-01,99861,280000000,141.0,"['Action', 'Adventure', 'Science Fiction']","['Joss Whedon', 'Paula Casarin', 'John Mahaffie']","['Kevin Feige', 'Jeremy Latcham', 'Stan Lee', ""Louis D'Esposito"", 'Jon Favreau', 'Alan Fine', 'Sarah Finn', 'Reg Poerscout-Edgerton', 'Mitchell Bell', 'Daniel S. Kaminsky', 'Victoria Alonso', 'Patricia Whitcher', 'Jamie Christopher', 'Luca Marco Paracels', 'Nicholas Simon', 'Jason B. Stamey', 'Tamara Hunter', 'Lillie Jeffrey']","['Joss Whedon', 'Jack Kirby', 'Stan Lee', 'Jane Wu']",PG-13
Incredibles 2,BV,182687905,4410,2018-06-15,260513,200000000,118.0,"['Action', 'Adventure', 'Animation', 'Family']","['Brad Bird', 'Adam Schnitzer', 'Alexander Curtis', 'Andy Grisdale', 'Arjun Rihan', 'Gregg Olsson', 'Jahkeeli Garnett', 'Jan Pfenninger', 'Leo Santos', 'Mark Sanford', 'Matthew Silas', 'Mike Leonard', 'Robert Kinkead', 'Ryan Heuett', 'Seong-Young Kim']","['John Lasseter', 'Nicole Paradis Grindle', 'John Walker', 'Natalie Lyon', 'Kevin Reher', 'Chris Wiggum', 'Terri Douglas', ""Sabine O'Sullivan"", 'Samantha Gurash', 'Briana Gardner', 'Emily Engie', 'Mia Stapleton', 'Chris Haynes', 'Alyssa Mar', 'Amanda Deering Jones', 'Gerisa Macale', 'Emily Goldsborough', 'Josh Lowden', 'Jonathan Null', 'Jon Bryant']","['Brad Bird', 'Dean Kelly', ""Brian Kalin O'Connell"", 'Sanjay Patel', 'Peter Sohn', 'Michael Daley', 'Ted Mathot', 'Mark Andrews', 'Michael Arndt', 'Kathryn Hendrickson', 'Megan Bartel', 'Austin Madison', 'Bill Presing', 'Bobby Rubio', 'Melody Cisinski', 'Octavio E. Rodriguez', 'Rosanna Sullivan']",PG
Captain America: Civil War,BV,179139142,4226,2016-05-06,271110,240000000,147.0,"['Adventure', 'Action', 'Science Fiction']","['Anthony Russo', 'Joe Russo', 'Joe Russo', 'David Leitch', 'Chad Stahelski']","['Kevin Feige', 'Alan Fine', 'Lars P. Winther', 'Mitchell Bell', ""Louis D'Esposito"", 'Stan Lee', 'Nate Moore', 'Henning Molfenter', 'Christoph Fisser', 'Charlie Woebcken', 'Patricia Whitcher', 'Victoria Alonso', 'Sarah Finn', 'Tara Feldstein', 'Chase Paris', 'Jason B. Stamey', 'Joel Thingvall', 'Lisa Fiorito', 'Trinh Tran']","['Christopher Markus', 'Stephen McFeely', 'Joe Simon', 'Jack Kirby', 'Mark Millar']",PG-13
