,Title,Studio,Opening,Theaters,Date
0,Avengers: Endgame,BV,357115007,4662,2019-04-26
1,Avengers: Infinity War,BV,257698183,4474,2018-04-27
2,Star Wars: The Force Awakens,BV,247966675,4134,2015-12-18
3,Star Wars: The Last Jedi,BV,220009584,4232,2017-12-15
4,Jurassic World,Uni.,208806270,4274,2015-06-12
5,Marvel's The Avengers,BV,207438708,4349,2012-05-04
6,Black Panther,BV,202003951,4020,2018-02-16
7,Avengers: Age of Ultron,BV,191271109,4276,2015-05-01
8,Incredibles 2,BV,182687905,4410,2018-06-15
9,Captain America: Civil War,BV,179139142,4226,2016-05-06
10,Beauty and the Beast (2017),BV,174750616,4210,2017-03-17
11,Iron Man 3,BV,174144585,4253,2013-05-03
12,Harry Potter and the Deathly Hallows Part 2,WB,169189427,4375,2011-07-15
13,Batman v Superman: Dawn of Justice,WB,166007347,4242,2016-03-25
14,The Dark Knight Rises,WB,160887295,4404,2012-07-20
15,The Dark Knight,WB,158411483,4366,2008-07-18
16,The Hunger Games: Catching Fire,LGF,158074286,4163,2013-11-22
17,Rogue One: A Star Wars Story,BV,155081681,4157,2016-12-16
18,Captain Marvel,BV,153433423,4310,2019-03-08
19,The Hunger Games,LGF,152535747,4137,2012-03-23
20,Spider-Man 3,Sony,151116516,4252,2007-05-04
21,Jurassic World: Fallen Kingdom,Uni.,148024610,4475,2018-06-22
22,Furious 7,Uni.,147187040,4004,2015-04-03
23,Guardians of the Galaxy Vol. 2,BV,146510104,4347,2017-05-05
24,The Twilight Saga: New Moon,Sum.,142839137,4024,2009-11-20
25,The Twilight Saga: Breaking Dawn Part 2,LG/S,141067634,4070,2012-11-16
26,The Twilight Saga: Breaking Dawn Part 1,Sum.,138122261,4061,2011-11-18
27,Pirates of the Caribbean: Dead Man's Chest,BV,135634554,4133,2006-07-07
28,Finding Dory,BV,135060273,4305,2016-06-17
29,Suicide Squad,WB,133682248,4255,2016-08-05
30,Deadpool,Fox,132434639,3558,2016-02-12
31,Iron Man 2,Par.,128122480,4380,2010-05-07
32,Deadpool 2,Fox,125507153,4349,2018-05-18
33,Harry Potter and the Deathly Hallows Part 1,WB,125017372,4125,2010-11-19
34,It,WB (NL),123403419,4103,2017-09-08
35,Thor: Ragnarok,BV,122744989,4080,2017-11-03
36,The Hunger Games: Mockingjay - Part 1,LGF,121897634,4151,2014-11-21
37,Shrek the Third,P/DW,121629270,4122,2007-05-18
38,Toy Story 4,BV,120908065,4575,2019-06-21
39,Spider-Man: Homecoming,Sony,117027503,4348,2017-07-07
40,Man of Steel,WB,116619362,4207,2013-06-14
41,Alice in Wonderland (2010),BV,116101023,3728,2010-03-05
42,Minions,Uni.,115718405,4301,2015-07-10
43,Spider-Man,Sony,114844116,3615,2002-05-03
44,Pirates of the Caribbean: At World's End,BV,114732820,4362,2007-05-25
45,Toy Story 3,BV,110307189,4028,2010-06-18
46,Transformers: Revenge of the Fallen,P/DW,108966307,4234,2009-06-24
47,Star Wars: Episode III - Revenge of the Sith,Fox,108435841,3661,2005-05-19
48,Shrek 2,DW,108037878,4163,2004-05-19
49,The Secret Life of Pets,Uni.,104352905,4370,2016-07-08
50,The Jungle Book (2016),BV,103261464,4028,2016-04-15
